# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
currency-formats	en-DE	USD/-123456	-1.234,56 US$	-US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-DE	USD/0	0,00 US$	US$0.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-DE	USD/1	0,01 US$	US$0.01	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-DE	USD/100000000	1.000.000,00 US$	US$1,000,000.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-DE	USD/123456	1.234,56 US$	US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-EE	JPY/-123456	-123 456 JP¥	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-EE	JPY/0	0 JP¥	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-EE	JPY/1	1 JP¥	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-EE	JPY/100000000	100 000 000 JP¥	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-EE	JPY/123456	123 456 JP¥	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-EE	USD/-123456	-1 234,56 US$	-US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-EE	USD/0	0,00 US$	US$0.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-EE	USD/1	0,01 US$	US$0.01	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-EE	USD/100000000	1 000 000,00 US$	US$1,000,000.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-EE	USD/123456	1 234,56 US$	US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-ES	JPY/-123456	-123.456 JP¥	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-ES	JPY/0	0 JP¥	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-ES	JPY/1	1 JP¥	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-ES	JPY/100000000	100.000.000 JP¥	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-ES	JPY/123456	123.456 JP¥	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-ES	USD/-123456	-1.234,56 US$	-US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-ES	USD/0	0,00 US$	US$0.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-ES	USD/1	0,01 US$	US$0.01	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-ES	USD/100000000	1.000.000,00 US$	US$1,000,000.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-ES	USD/123456	1.234,56 US$	US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FI	JPY/-123456	-123 456 JP¥	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FI	JPY/0	0 JP¥	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FI	JPY/1	1 JP¥	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FI	JPY/100000000	100 000 000 JP¥	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FI	JPY/123456	123 456 JP¥	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FI	USD/-123456	-1 234,56 US$	-US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FI	USD/0	0,00 US$	US$0.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FI	USD/1	0,01 US$	US$0.01	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FI	USD/100000000	1 000 000,00 US$	US$1,000,000.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FI	USD/123456	1 234,56 US$	US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FR	JPY/-123456	-123 456 JP¥	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FR	JPY/0	0 JP¥	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FR	JPY/1	1 JP¥	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FR	JPY/100000000	100 000 000 JP¥	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FR	JPY/123456	123 456 JP¥	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FR	USD/-123456	-1 234,56 US$	-US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FR	USD/0	0,00 US$	US$0.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FR	USD/1	0,01 US$	US$0.01	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FR	USD/100000000	1 000 000,00 US$	US$1,000,000.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-FR	USD/123456	1 234,56 US$	US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-IT	JPY/-123456	-123.456 JP¥	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-IT	JPY/0	0 JP¥	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-IT	JPY/1	1 JP¥	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-IT	JPY/100000000	100.000.000 JP¥	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-IT	JPY/123456	123.456 JP¥	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-IT	USD/-123456	-1.234,56 US$	-US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-IT	USD/0	0,00 US$	US$0.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-IT	USD/1	0,01 US$	US$0.01	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-IT	USD/100000000	1.000.000,00 US$	US$1,000,000.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-IT	USD/123456	1.234,56 US$	US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LT	JPY/-123456	-123 456 JP¥	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LT	JPY/0	0 JP¥	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LT	JPY/1	1 JP¥	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LT	JPY/100000000	100 000 000 JP¥	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LT	JPY/123456	123 456 JP¥	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LT	USD/-123456	-1 234,56 US$	-US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LT	USD/0	0,00 US$	US$0.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LT	USD/1	0,01 US$	US$0.01	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LT	USD/100000000	1 000 000,00 US$	US$1,000,000.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LT	USD/123456	1 234,56 US$	US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LV	JPY/-123456	-123 456 JP¥	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LV	JPY/0	0 JP¥	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LV	JPY/1	1 JP¥	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LV	JPY/100000000	100 000 000 JP¥	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LV	JPY/123456	123 456 JP¥	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LV	USD/-123456	-1 234,56 US$	-US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LV	USD/0	0,00 US$	US$0.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LV	USD/1	0,01 US$	US$0.01	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LV	USD/100000000	1 000 000,00 US$	US$1,000,000.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-LV	USD/123456	1 234,56 US$	US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-NL	JPY/-123456	JP¥ -123.456	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-NL	JPY/0	JP¥ 0	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-NL	JPY/1	JP¥ 1	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-NL	JPY/100000000	JP¥ 100.000.000	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-NL	JPY/123456	JP¥ 123.456	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-NL	USD/-123456	US$ -1.234,56	-US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-NL	USD/0	US$ 0,00	US$0.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-NL	USD/1	US$ 0,01	US$0.01	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-NL	USD/100000000	US$ 1.000.000,00	US$1,000,000.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-NL	USD/123456	US$ 1.234,56	US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-PT	JPY/-123456	-123 456 JP¥	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-PT	JPY/0	0 JP¥	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-PT	JPY/1	1 JP¥	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-PT	JPY/100000000	100 000 000 JP¥	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-PT	JPY/123456	123 456 JP¥	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-PT	USD/-123456	-1 234,56 US$	-US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-PT	USD/0	0,00 US$	US$0.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-PT	USD/1	0,01 US$	US$0.01	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-PT	USD/100000000	1 000 000,00 US$	US$1,000,000.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-PT	USD/123456	1 234,56 US$	US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-SI	JPY/-123456	-123.456 JP¥	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-SI	JPY/0	0 JP¥	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-SI	JPY/1	1 JP¥	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-SI	JPY/100000000	100.000.000 JP¥	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-SI	JPY/123456	123.456 JP¥	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
